feature,score,metric
Amount,0.37462679329727655,importance
V17,0.10903415569989429,importance
V14,0.10039529019197348,importance
V7,0.08553502151739024,importance
V3,0.07972159499670634,importance
V10,0.07359212993319825,importance
V24,0.013101408751552817,importance
V23,0.009290932342315539,importance
V12,0.009276863191706139,importance
V4,0.009071492540232566,importance
Time,0.008743226052469615,importance
V28,0.008628048780541096,importance
V22,0.008045860785229342,importance
V1,0.008042184433742607,importance
V16,0.007791909860866554,importance
V18,0.0077449656913424056,importance
V9,0.00760301310280658,importance
V27,0.007352406734375524,importance
V26,0.007081487190044282,importance
V15,0.007053658862638861,importance
V8,0.006796240178759533,importance
V13,0.006584872529643739,importance
V5,0.006467568808735791,importance
V21,0.00621138633850399,importance
V6,0.005726290407762566,importance
V19,0.005678892833374149,importance
V20,0.005625493495879727,importance
V11,0.005484249338732305,importance
V25,0.005300490276913952,importance
V2,0.004392071835391325,importance
